# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 3.548e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.631e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.715e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.802e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.890e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 3.981e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.074e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.169e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.266e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.365e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.467e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.571e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.677e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.786e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 4.898e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.012e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.129e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.248e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.370e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.495e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.623e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.754e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 5.888e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.026e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.166e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.310e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.457e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.607e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.761e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 6.918e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 7.079e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 7.244e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 7.413e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 7.586e+05      0.000      0.000   0.00e+00   0.00e+00              b''
