# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 1.023e+05      4.945      2.556  -2.59e-02   3.46e-09  b'Ra1.023e+05_'
 1.047e+05      4.956      2.569  -2.56e-02   3.22e-09  b'Ra1.047e+05_'
 1.072e+05      4.967      2.583  -2.52e-02   5.14e-09  b'Ra1.072e+05_'
 1.096e+05      4.978      2.596  -2.48e-02   2.61e-09  b'Ra1.096e+05_'
 1.122e+05      4.989      2.610  -2.44e-02   3.61e-09  b'Ra1.122e+05_'
 1.148e+05      5.000      2.623  -2.41e-02   3.49e-09  b'Ra1.148e+05_'
 1.175e+05      5.012      2.636  -2.37e-02   3.23e-09  b'Ra1.175e+05_'
 1.202e+05      5.023      2.650  -2.34e-02   3.28e-09  b'Ra1.202e+05_'
 1.230e+05      5.035      2.663  -2.30e-02   3.61e-09  b'Ra1.230e+05_'
 1.259e+05      5.047      2.677  -2.26e-02   3.89e-09  b'Ra1.259e+05_'
 1.288e+05      5.059      2.691  -2.23e-02   4.17e-09  b'Ra1.288e+05_'
 1.318e+05      5.071      2.704  -2.19e-02   3.89e-09  b'Ra1.318e+05_'
 1.349e+05      5.083      2.718  -2.16e-02   4.63e-09  b'Ra1.349e+05_'
 1.380e+05      5.095      2.732  -2.13e-02   4.22e-09  b'Ra1.380e+05_'
 1.413e+05      5.108      2.746  -2.09e-02   4.44e-09  b'Ra1.413e+05_'
 1.445e+05      5.120      2.760  -2.06e-02   4.35e-09  b'Ra1.445e+05_'
 1.479e+05      5.133      2.774  -2.02e-02   4.37e-09  b'Ra1.479e+05_'
 1.514e+05      5.146      2.788  -1.99e-02   4.50e-09  b'Ra1.514e+05_'
 1.549e+05      5.158      2.802  -1.96e-02   3.96e-09  b'Ra1.549e+05_'
 1.585e+05      5.171      2.816  -1.92e-02   4.04e-09  b'Ra1.585e+05_'
 1.622e+05      5.184      2.830  -1.89e-02   4.16e-09  b'Ra1.622e+05_'
 1.660e+05      5.197      2.844  -1.86e-02   4.19e-09  b'Ra1.660e+05_'
 1.698e+05      5.210      2.858  -1.83e-02   4.35e-09  b'Ra1.698e+05_'
 1.738e+05      5.224      2.872  -1.79e-02   2.90e-09  b'Ra1.738e+05_'
 1.778e+05      5.237      2.886  -1.76e-02   3.74e-09  b'Ra1.778e+05_'
 1.820e+05      5.251      2.901  -1.73e-02   4.29e-09  b'Ra1.820e+05_'
 1.862e+05      5.264      2.915  -1.70e-02   1.01e-08  b'Ra1.862e+05_'
 1.905e+05      5.278      2.929  -1.67e-02   3.18e-09  b'Ra1.905e+05_'
 1.950e+05      5.292      2.943  -1.63e-02   4.05e-09  b'Ra1.950e+05_'
 1.995e+05      5.305      2.958  -1.60e-02   3.11e-09  b'Ra1.995e+05_'
 2.042e+05      5.319      2.972  -1.57e-02   4.03e-09  b'Ra2.042e+05_'
 2.089e+05      5.333      2.986  -1.54e-02   3.97e-09  b'Ra2.089e+05_'
 2.138e+05      5.348      3.001  -1.51e-02   3.57e-09  b'Ra2.138e+05_'
 2.188e+05      5.362      3.015  -1.48e-02   3.53e-09  b'Ra2.188e+05_'
 2.239e+05      5.376      3.030  -1.45e-02   3.30e-09  b'Ra2.239e+05_'
 2.291e+05      5.391      3.044  -1.42e-02   2.77e-09  b'Ra2.291e+05_'
 2.344e+05      5.405      3.059  -1.39e-02   1.83e-09  b'Ra2.344e+05_'
