# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 1.445e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.479e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.514e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.549e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.585e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.622e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.660e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.698e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.738e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.778e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.820e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.862e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.905e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.950e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.995e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.042e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.089e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.138e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.188e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.239e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.291e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.344e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.399e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.455e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.512e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.570e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.630e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.692e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.754e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.818e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.884e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.951e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 3.020e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 3.090e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 3.162e+06      0.000      0.000   0.00e+00   0.00e+00              b''
